As a Compass user I want the buttons to update when an import completes So that I don t accidentally import duplicate data into my collection,COMPASS-3949,0,
As a Compass user I want the documents view to refresh when an import completes So that I can immediately interact with the new data imported into my collection and I am reassured that the import actually happened,COMPASS-3948,0,
As a Compass user I want to specify types for the fields I want to import from CSV So that I can control the schema of data I want to have in my collection,COMPASS-3947,0,
As a Compass user I want to select the fields that will be written into the exported JSON or CSV file So that I only export what is needed and I can keep the file small,COMPASS-3851,0,
As a Compass user I want to contextual entry points to import export So that I can find and access the functionality where I needed,COMPASS-3830,0,
As a Compass user I want to import documents from a JSON file So that I can quickly seed my collection with existing data,COMPASS-3829,0,
As a Compass user I want to export documents as a JSON So that I use my data with other tools,COMPASS-3828,0,
As a Compass user I want to import documents from a CSV file So that I can quickly seed my collection with existing data that may come from non MongoDB tools,COMPASS-3827,0,
As a Compass user I want to specify the fields I want to import from CSV So that I can control what data I want to have in my collection and specify the schema,COMPASS-3826,0,
As a Compass user I want to export documents to a CSV file So that I can use them with tools outside the MongoDB ecosystem,COMPASS-3825,0,
As a Compass user I want to create multiple documents in extend JSON So that I can easily copy paste from my code editor or from an API response,COMPASS-3719,0,
As a Compass user I want to create a new document in extend JSON So that I can easily copy paste from my code editor or from an API response,COMPASS-3718,0,
As a Compass user I want to see and edit documents in extended JSON So that I have a way to work in an environment that is similar to my code editor where I feel productive,COMPASS-3717,0,
As a Compass user I want to know what fields are encrypted with FLE So that I understand why I can t see the content of the field and I know I should not attempt to modify the content of the field,COMPASS-3645,0,
"As a Compass user I want to duplicate an existing View So that I don t need to start from scratch when I want to create a new, similar one",COMPASS-3526,0,
As a Compass user I want to edit a View as in edit the aggregation pipeline behind the View So that I can go and adjust the details if the documents I am seeing are not in the shape I expected them to be,COMPASS-3525,0,
As a Compass user I want to see the details of a View when I select it So that I can easily understand that it is a View and I can see what collection it is based on see the documents that are in the View and run queries and aggregations on top of it,COMPASS-3524,0,
As a Compass user I want to create a View from an aggregation pipeline So that I can make sure my data is in the right shape to be used in my application or to create a chart from it.,COMPASS-3523,0,
As a Compass user I want to see my entire pipeline at once So that I can quickly see what it is doing.,COMPASS-3296,0,
